name	component	tier	agent_liveness	purpose	evidence
LateSurvival	draft	diagnostic	diagnostic	Runs the fitted board out to round 16 and records which stash targets are still available at each of my picks (the 127 -> 162 gap).	RUNBOOK.md:377 in the draft-night section presents its table ('LateSurvival runs the board to round 16 ...') but not as a command to run; the section's run command is LiveLateRounds (RUNBOOK.md:325). Only code caller is the superseded LateWaitOrTake.
LateWaitOrTake	draft	archive	stray	Rounds 8-16 combiner: StashValue (this season + keeper base rate) times LateSurvival's P(gone) gives expected loss from waiting.	RUNBOOK.md:357 '**Superseded:** LateWaitOrTake - same idea, weaker value model.' No other doc reference; no code callers.
LiveBoard	draft	seasonal	live	The board model at the table: prices every legal candidate on the live board by marginal lineup points over 600 drawn worlds, plus wait odds to the next pick.	Called by Draft2026.java and DraftNight.java, the RUNBOOK draft-night tools (RUNBOOK.md:217 'The live tool is ./gradlew run -Pmain=Draft2026', :220 DraftNight). DIAGNOSTIC.md:160 'LiveBoard.answer, and Draft2026 around it'; DRAFT-READY.md:196; MODEL.md:7.
LiveCommittee	draft	seasonal	live	Runs four engines (lookahead-2, lookahead-1, hindsight, vorp-greedy) on the live board from one state and reports agreement or a contested pick.	DRAFT-CARD.md:10 './gradlew run -Pmain=LiveCommittee'; called by DraftNight.java:122 ('LiveCommittee.vote(timing, planner, simulator, state, roster, rollouts, scenarios)') and Draft2026.java:121/136 (lastVote into VerdictLine.together). TRAPS.md:144 #33.
LiveDraft	draft	seasonal	live	Reads the live Sleeper board (livePicks/livePickOwners/freeze), replays it into the simulator and recommends the next pick by depth-2 lookahead (Component F).	Its helpers are on the live path: DraftNight.java:90 'List<String> taken = LiveDraft.livePicks(draftID);', :99 livePickOwners; LiveLateRounds.java:53 livePicks; Draft2026.java:112 'LiveDraft.freeze(draftID)'. DRAFT-READY.md:333 'LiveDraft.livePicks drops keeper picks'; MODEL.md:1687. Its own main is not the RUNBOOK command (Draft2026/DraftNight are).
LiveInsurance	draft	archive	diagnostic	Model B live: once the starting nine is full, values each bench candidate by promotion chance from fog draws minus the wire, with Draft Sharks injury deviation.	MODEL.md:2192/2224 ('rounds 8-9 -> LiveInsurance, rounds 10+ -> LateRoundTargets') and :2536 (the STARTS = 0% finding). RUNBOOK.md:221/325 routes rounds 8+ to LiveLateRounds instead. No code caller invokes it - RosterValue.java:11, WeeklyActuals.java:15, StarterSumCheck.java:13/121, InsuranceTest.java:40 are comments/strings.
LiveLateRounds	draft	seasonal	live	Rounds 8-16 live pricer: V(roster + him) - V(roster) on WeeklyStarterValue for the best available at each position, times survival to the next pick.	RUNBOOK.md:221 fallback ladder ('./gradlew run -Pmain=LiveLateRounds -Pkeepers=Tuten,Purdy -q for rounds 8+') and :325 ('At each pick from round 8 on, run the live late-rounds tool: ./gradlew run -Pmain=LiveLateRounds -PdraftId=<id>'); DRAFT-READY.md:109. Called by Draft2026.java, DraftNight.java.
PairwiseOdds	draft	seasonal	live	P(later-drafted man outscores earlier, same position): isotonic + log-smooth strength curve fitted on nflverse pairs held out by season; also supplies the Man list and CAP the live board draws on.	LiveSetup.java:78 'PairwiseOdds.nflverseMen(wider, order)' feeding Draft2026 (RUNBOOK.md:217); DryRun.java:34. DRAFT-READY.md:110 run line 'wait odds'; TRAPS.md:167 PairwiseOdds.CAP; RESEARCH-PLAN.md:332-334.
PolicyTournament	draft	seasonal	live	Races pick-selection policies for my seat in one shared game; forLiveArbitration/RankingSelection is the arbiter the live committee runs on draft night.	LiveCommittee.java:272,345-347 'PolicyTournament.forLiveArbitration' / 'tournament.new RankingSelection'; LiveCommittee is used by DraftNight and Draft2026 (RUNBOOK.md:177-220). MODEL.md:688,1618; TRAPS.md:164.
PositionPredictability	draft	seasonal	live	Within-position rank correlation of preseason board vs season outcome; reliability() is the trust coefficient the 16-round objective shrinks with.	TrustCoefficient.java:229 and Draft16.java:57 call 'PositionPredictability.reliability()'; MODEL.md:4505 discusses it as the shipped trust statistic. Callers also CrossoverTable, MarginalTrace, ObjectiveAudit, PredictabilityProfile, PolicyBacktest. Live only via the 16-round RiskDiscountedValue path (Draft16), so borderline - diagnostic if that schedule is not run.
PreFlight	draft	seasonal	live	Reads Sleeper live and checks the tool is pointed at tonight's draft: right draft id, status, settings, 14 seats, 24 keepers.	DRAFT-READY.md:58 and README.md:18 run line; DIAGNOSTIC.md:312 'ALL CLEAR' output. LiveSetup.java:18 mentions it only in a comment (no PreFlight. call). Not named in RUNBOOK.md's draft-night section - live on the strength of DRAFT-READY's pre-draft checklist; draft-night only.
RosterRules	draft	seasonal	live	Single authority on legal Justin rosters and pick cost: a Roster type that refuses illegal picks, ceilings derived from the live Sleeper lineup.	Called by LiveBoard.java:206 `RosterRules rules = RosterRules.live();` and :988, which DraftNight/Draft2026 (RUNBOOK 'During the draft') run on; also DryRun, PlanBacktest, KeeperSlateImpact, SeatPlan, LivePathStress. DIAGNOSTIC.md:152; TRAPS.md:311,1341.
SeatPlan	draft	archive	stray	Pre-draft table of what the model expects at each of Justin's fourteen seats, to eyeball the shape and gaps (the 35-pick wait at 127-162).	No reference in any root doc; no callers in src/main/java. Depends on LiveBoard, LiveDraft, LiveSetup, RosterRules.
SelectionModel	draft	seasonal	live	Conditional-logit room model P(manager takes player | board, roster); fitShipped() is the single definition every simulator and planner draws from. Its own main is a 2021-2024 fit / 2025 held-out test.	Called by DraftNight, LiveLateRounds, LiveBoard (via DraftSimulator), KeeperPlan, DraftPlanner, LateWaitOrTake, LateSurvival — DraftNight/LiveLateRounds/KeeperPlan named in RUNBOOK draft-night section. MODEL.md:131,456 ('now all flow through SelectionModel.fitShipped()').
SleeperLiveDraft	draft	archive	stray	Older draft-day advice: reads live picks (uncached) and runs 300 on-the-fly simulations per pick.	README.md:38 `# older draft-day advice; superseded by Draft2026 above`; MODEL.md:46,873 historical. Only code reference is DraftProgress.java:4 javadoc ('Pulled out of SleeperLiveDraft's main'); no method calls elsewhere.
StarterRisk	draft	archive	diagnostic	Is my starting nine more injury-exposed than an average nine, per position, as a multiplier on the bench base rate?	RUNBOOK.md:414 (draft-night section, marked done) '`StarterRisk` puts this nine at 0.90x the injury exposure'. DraftNight.java:248 only quotes it in a printed string ('StarterRisk says my nine are 0.90x'), does not call it.
StashValue	draft	diagnostic	diagnostic	One model for rounds 8-16: value = max(0, this season - wire) + max(0, next season - wire - price of round-R pick), from five seasons of league picks.	RUNBOOK.md:303 (section 'Rounds 8-16 - one model, both halves of the value', inside the done draft-night part) '`StashValue` prices every pick from 8 to 16 as one sum'. Called by LateWaitOrTake.java:62 (youthMultiplier) which RUNBOOK.md:357 marks '**Superseded:** `LateWaitOrTake`', and by KeeperOrigin. Not in the in-season loop.
TightEndWait	draft	archive	stray	Can I wait on a tight end this year: teams already holding a TE, projection vs market price, survival curve per seat, cost of waiting.	No reference in any root doc; no callers in src/main/java. Built 85d6637 2026-09-01 for a draft-night question that is now past.
TimingPlanner	draft	seasonal	live	Full-rules planner: (qbAt x teAt) timing heads over nine live picks, other picks chosen live by roster-aware VORP; incumbents re-priced paired on fresh seeds.	MODEL.md:903 '1. TimingPlanner: (QB round x TE round) heads + roster-aware VORP fill'. Constructed by DraftNight.java:46 'new TimingPlanner(planner)' (DraftNight named 3x in RUNBOOK draft-night section), Draft2026.java:61, LiveCommittee.java:45, WaitCheck.java.
Tomorrow	draft	archive	live	One draft-night screen: the committed plan per round, LiveBoard's opinion, and PairwiseOdds' cost of waiting.	Not named in any root doc. LiveBoard.java:218 'Tomorrow.PLAN.getOrDefault(round, "-")' reads its PLAN table, and LiveBoard backs DraftNight (RUNBOOK draft-night section, marked done). Live only through that constant; draft is over.
WaitCheck	draft	seasonal	live	Simulates forward from the live board to my next pick and reports per-position best-available survival and the drop-off cost when gone.	DraftNight.java:134 'WaitCheck.report(timing, planner, simulator, state, points, waitRollouts);' (DraftNight is named in RUNBOOK 'During the draft'). TRAPS.md:135 '`WaitCheck`, Model A's own'. Also called by DraftSimulator, LateWaitOrTake, ModelAAudit.
WaitOrTake	draft	archive	diagnostic	Take him now or gamble he lasts a round, on AvailabilityModel with league bias fitted from ManagerProfiles.	README.md:41 './gradlew run -Pmain=WaitOrTake'; MODEL.md:43 model table row C. Not in RUNBOOK; no callers in src/main/java. Its question is answered on draft night by WaitCheck via DraftNight, so it is an earlier model kept for the record.
AccuracyShootout	draft-research	archive	diagnostic	Scores every stored projection/ADP/ECR feed as a predictor of actual season points per season (spearman, top-24 hit) to measure the fog.	DIAGNOSTIC.md:33 table row 'preseason projections predict the season at spearman 0.56-0.59 | AccuracyShootout'; MODEL.md:2436. No callers in src/main/java.
AdaptiveCeiling	draft-research	archive	stray	Measures headroom above the best tournament entry by growing inner rollouts of oldschool-2 lookahead to find the value plateau.	No reference in any root doc; no callers in src/main or src/test (only javadoc self-usage line).
AdaptivePremium	draft-research	archive	stray	Races shipped/timing/vorp/adaptive policies at Justin's seat under full rules on paired seeds to price the adaptive premium.	No reference in any root doc; no callers in src/main or src/test.
AdpProvenanceAudit	draft-research	archive	stray	Checks whether Sleeper's stored per-season ADP is a preseason snapshot by rank-correlating it against FFC per-year ADP.	No root doc reference; only mention is EraExport.java:21 javadoc prose ('This repo already runs an AdpProvenanceAudit because'), not a call.
AdrProvenance	draft-research	archive	diagnostic	Compares Abusing Draft Rankings sheet capture dates with real draft dates (from the league chain) to judge feed admissibility per season.	MODEL.md:2181, 2486, 2495 quote its results and data/adr/provenance.csv; no callers in src/main/java.
AllenCheck	draft-research	archive	stray	Prints survival of top QBs (>330 projected points) at Justin's picks under the shipped selection model.	One-line javadoc only ('Where do the top QBs actually land, per the model?'); no reference in any root doc; no callers.
AppetiteAudit	draft-research	archive	diagnostic	Per season, each manager's first in-draft QB (or -Ppos) round, league mean, and kept-QB count, to separate appetite drift from keeper composition.	MODEL.md:1004 'D3 AppetiteAudit - DONE, run today: league first-QB round 6.1 -> 4.1'; no callers in src/main (AppetiteSeesKeepersTest references AAAConfiguration, not this class).
AutodraftImpact	draft-research	archive	stray	Measures survival of Justin's targets at each pick with JFMarino human vs autodrafting, same seeds.	No reference in any root doc; no callers. Near-duplicate of AutodraftScenario (both open with the same JFMarino 50/50 intel).
AutodraftScenario	draft-research	archive	stray	Runs Justin's seat with JFMarino human vs autodraft and compares plan, value and round-2 target survival.	No reference in any root doc; no callers. Duplicates AutodraftImpact's question.
BaselinePlanAudit	draft-research	archive	diagnostic	Prints every manager's keeperless baseline staged plan and where QB landed, to test whether the valley trap fired inside the keeper ledger.	MODEL.md:751 'BaselinePlanAudit: ALL TWELVE keeperless baselines commit QB in rounds'; called only by BaselineQbTimingCheck.
BaselineQbTimingCheck	draft-research	archive	diagnostic	Re-inserts the baseline plan's QB at each later round and prices variants at high trial counts to bound how much V(base) is understated.	MODEL.md:753 'BaselineQbTimingCheck (my seat, QB slid through all nine rounds, 10k'; no callers.
BenchCalibration	draft-research	diagnostic	diagnostic	Sweeps BoardValue's lostBelow threshold and a blend lambda against BenchValue's measured over-wire bench returns (44.0/32.8/31.2) to see if the bench parameter is identified.	DIAGNOSTIC.md:130 'lostBelow cannot be identified ... BenchCalibration | high'; DRAFT-READY.md:241; MODEL.md:5311, 5413 run command. Referenced by BenchValue/BoardValue only in comments (no 'BenchCalibration.' call sites); has BenchCalibrationTest.
BenchValueGap	draft-research	diagnostic	diagnostic	Compares what WeeklyStarterValue prices the best free bench man at pick 127 against BenchValue's measured over-wire returns; found the objective over-prices, not under-prices.	No root doc names it, but data/in-season-learning-2026-08-31.txt:136 and InSeasonLearning.java:862 quote its result ('free tight end (BenchValueGap, 2026-08-31)'); BustBoomSweep.java:112,250 call BenchValueGap.bestFree.
BenchWindow	draft-research	archive	stray	Checks whether BenchValue.overWireByPosition's per-position ordering changes with the rounds window (1-9 vs 8+).	No reference in any root doc; no callers. Its concern (DraftNight guidance drawn from rounds 1-9) is addressed by DraftNight.java:129-130 calling overWireByPosition(configuration, slot.round()).
BlockingTest	draft-research	archive	stray	Tests whether taking player A vs B at pick 7 changes the availability distribution at the next pick (the blocking channel no bound prices).	No reference in any root doc; no callers.
BoardSourceCheck	draft-research	seasonal	diagnostic	Runs the board model at pick 7 under sleeper, espn, cbs and a blend to see if the verdict flips with the projection feed.	DIAGNOSTIC.md:32 'pick-7 verdict is RB under sleeper, espn, cbs and a blend | BoardSourceCheck'; DIAGNOSTIC.md:299; DRAFT-READY.md:479. Only test reference SurvivalDependentToolsTest.
BoostLab	draft-research	archive	diagnostic	Model-class experiment: gradient-boosted scorer over all features vs the conditional logit on the survival gate, hyperparameters on 2024, one look at 2025.	DIAGNOSTIC.md:66 'held-out calibration at Justin's own slots: 0.45% vs linear 1.56% | BoostLab -PscheduleRounds=16'; TRAPS.md:293 #54, :320; BoostedSelectionModel.java:77-83 'The BoostLab-chosen configuration ... THE shipped simulator brain'. Referenced by SelectionModel/TrainingRows only in comments/strings.
BustBoomRates	draft-research	archive	diagnostic	Per-game bust/boom rates by position and draft-round tier over 13 seasons with season-bootstrapped error bars.	MODEL.md:5016 './gradlew run -Pmain=BustBoomRates rates by position and draft tier', :5057, :5163 (-Psource=nflverse rerun); only test reference PromotionChannelTest.
BustBoomSweep	draft-research	archive	diagnostic	Sweeps BustBoomValue's bust/boom/detection-lag parameters at picks 79-127 to bound whether a bust/boom channel ever reorders positions.	MODEL.md:4874 'BustBoomSweep bounds that'; referenced by BustBoomValueTest; no main callers.
CensoredDisplacement	draft-research	archive	diagnostic	Fits a split-normal availability model by censored maximum likelihood including undrafted players, fixing PickDisplacement's sampling bias.	Called by DraftBacktest.java:298,314 ('CensoredDisplacement.fitThroughSeason(configuration, 2023/2024)'), which MODEL.md:45 marks DONE as the backtest; no root doc names CensoredDisplacement itself; has CensoredDisplacementTest.
CommitteeRobustness	draft-research	archive	stray	Tests the depth-2 VORP-tail live engine against greedy across wrong-model worlds (drone, chaotic, QB-hungry).	No reference in any root doc; no callers.
ConfigMatrix	draft-research	archive	stray	Runs BoardValue as a subprocess under every flag combination and tabulates results so recommendations become lookups.	No reference in any root doc; no callers.
CrossoverTable	draft-research	archive	stray	Over five real seasons, how often a late-tier player outscores an early-tier one at the same position and by how much.	No reference in any root doc; no callers (MODEL's 2026-08-30 boom measurement is quoted in BustBoomSweep's javadoc without naming this class).
CurveCheck	draft-research	archive	stray	Prints 2026 projections, isotonic fit and detected steps per position so the board, not a threshold, settles where the RB cliff is.	No reference in any root doc; no callers; last touched in commit dcc8d86.
DecisionSensitivity	draft-research	archive	diagnostic	Re-runs the timing search under fog draws from FogFit constants to count which timing heads survive and the regret of the projection-chosen plan.	MODEL.md:1480, 1521 ('DecisionSensitivity v1 reported 186 points of regret'), 1628; FogFit.java:12 mentions it only in javadoc; no callers.
DefenceHistory	draft-research	archive	stray	Per era-board season, counts defences on the board and joins to LeagueActuals.seasonDefencePoints to check the join is possible.	One-line javadoc only; no reference in any root doc; no callers; last commit 2026-09-01 00:39.
DefenceReality	draft-research	diagnostic	diagnostic	Checks three claims about defences: when the league really drafts them, whether the 2026 curve plateaus, and whether DEF ADP/projections predict less than other positions.	DIAGNOSTIC.md:65 'defences on the 2026 board: 0% before round 10 (real 0%) ... DefenceReality'; DIAGNOSTIC.md:290. Mentioned by SelectionModel.java:842, DraftSimulator.java:181, LiveBoard.java:1145 in comments only (no 'DefenceReality.' call sites).
DefenceRound	draft-research	diagnostic	diagnostic	Holds a plan's other thirteen picks fixed and slides the defence through every slot, scoring all variants on five real seasons.	MODEL.md:4416 'DefenceRound exactly, which is a free cross-check'; only test reference ShapeSensitivityTest; no main callers.
DefenceSurvey	draft-research	archive	stray	Sixteen-round survey of where each model variant places its defence on its own, after the forced-placement sweep settled that later is better.	No reference: not named in any root .md, no caller in src/main/java, no test. Javadoc: "do the models find that on their own?" (src/main/java/DefenceSurvey.java:10-12).
DefenceTiming	draft-research	archive	diagnostic	Prices the cost of taking the defence in each round with the roster shape held fixed, against the 125-point clustered-on-season bar.	DIAGNOSTIC.md:145 "| defence timing across the whole axis spans 107 points vs a 125 bar - the round is not measurable | `DefenceTiming` | high |"; DRAFT-READY.md:140,200; MODEL.md:3229. Only code reference is a javadoc mention in DefenceReality.java:23.
DefenceVersusDepth	draft-research	diagnostic	diagnostic	Realised defence points by preseason ADP band, the other half of Justin's 'defence at 8 vs bench depth' trade against BenchValue's skill-pick numbers.	No root doc names it. Consumed by LateRoundValue.java:46 ("DefenceVersusDepth: realised season points by PRESEASON defence band"), which DraftNight and LateRoundTargets use; pinned by src/test/java/BandRegressionTest.java. Its main() is a measurement, not a loop step.
DetectionLag	draft-research	diagnostic	diagnostic	Measures the week at which season-to-date scoring first beats the preseason ADP curve as a predictor (the bust-detection hinge), leave-one-season-out, rates per game played.	MODEL.md:5015 "./gradlew run -Pmain=DetectionLag the hinge: how fast is a bust visible"; MODEL.md:5162; TRAPS.md:560. Its DetectionLag.Man record is a shared type: NflverseBoards.java:264 "public static Map<String, List<DetectionLag.Man>> usable", read by LiveSetup.java:76 and BoardValue.java:128.
Draft16	draft-research	archive	diagnostic	Model A's expectimax run out to sixteen rounds with the starter-sum objective swapped in via RosterValue, to see whether TE/DEF timing falls out of the search without rules.	MODEL.md:3882 "**Still open:** the `Draft16` SEARCH continues to place a defence at pick 7"; MODEL.md:4036 "DEF-at-7 survives 300 trials in `Draft16`". Draft16.shape reused by ObjectiveAudit.java:225.
DraftBacktest	draft-research	diagnostic	diagnostic	Fit the selection model on prior seasons, replay a held-out draft, report pick-prediction rank and availability calibration; where PICK_STANDARD_DEVIATION and VALUE_WEIGHT were tuned.	MODEL.md:45 "DONE (`DraftBacktest`)"; MODEL.md:270 "`DraftBacktest` prints the surface every run"; MODEL.md:291. Its DraftBacktest.Season type is live plumbing: DraftSimulator.java:165 "public static DraftSimulator forSeason(DraftBacktest.Season season, ChoiceModel model". Tests: DraftBacktestSmokeTest, StaleJavadocLinkTest.
DraftRehearsal	draft-research	archive	stray	Generates mid-draft boards with the fitted opponents, stops at each of my picks and times the live decision path end-to-end before the real draft existed.	No reference: no root .md names the class (MODEL.md:875,1040,1666 speak of a 'mock rehearsal' generically), no caller, no test. Draft is done (RUNBOOK.md:160).
DrainPrediction	draft-research	archive	diagnostic	Scores how many men of a position go between my pick and my next under the retired room+ADP blend versus the fitted survival prior alone (the 2026-09-01 switch).	No root doc names it. Cited by RealDraftSurvival.java:11 javadoc ("MidDraftRank, DrainPrediction - scored it against MORE SIMULATIONS") and covered by src/test/java/SurvivalDependentToolsTest.java. Javadoc line 76 "A0: the RETIRED rule".
DriftAlarmCheck	draft-research	seasonal	diagnostic	Replays a clean draft and counts how often the schedule-drift warning fires; must be zero.	DIAGNOSTIC.md:293 "| schedule-drift warning on a clean board | fires 137 of 168 refreshes | **0** | `DriftAlarmCheck` |"; DRAFT-READY.md:338. No caller, no test.
DryRun	draft-research	diagnostic	diagnostic	Plays the whole 2026 draft with the model picking for me and fitted opponents, looking for absurd shapes and undraftable names rather than a score.	No root doc names it; referenced only in comments: LiveSetup.java:14 "DryRun never built the survival table", LiveBoard.java:982,1053, DefenceTiming.java:35. Tests: OneWarmUpTest, ScheduleDriftTest.
EraSample	draft-research	archive	diagnostic	Reports how many seasons the harvest reached and what that does (and does not do) to the season-level error bar.	MODEL.md:4691 "`EraSample`: two plans from the top 1% differ by +/-186 points season to season". Called by FormatProxyAudit.java. No test.
EraSlate	draft-research	diagnostic	diagnostic	Transplants the whole league's 24-keeper slate onto a historical board by positional ADP rank and removes the keeper-occupied picks, so backtests face the board Justin actually faced.	DRAFT-READY.md:223 "`EraSlate` transplants all twenty-four keepers by positional ADP rank"; MODEL.md:5245. Called by PlanBacktest and KeeperSlateImpact; test EraSlateTest pins that my own two keepers are untouched.
FancyAddendum	draft-research	archive	diagnostic	Evaluates hindsight optimisation (hop), SAA replan/plan and expert-iteration policies on the tournament's eval seed stream so they slot into the v3 rankings.	Class name in no root .md and no caller; its rows are what MODEL.md:968 quotes: "hop and saa-replan TIE the top flat lookaheads". Default keepers in javadoc (src/main/java/FancyAddendum.java:541 "-Pkeepers=Tuten,Flowers") predate the declared Tuten/Purdy pair.
FeatureLab	draft-research	archive	diagnostic	Gates every candidate selection-model feature: fit through 2023 with shipped set plus candidate, simulate 2024, joint refit of winners, one 2025 verdict.	MODEL.md:348 heading "### FeatureLab - the full candidate battery (2026-08-25)"; MODEL.md:423. FeatureLab.SHIP_MARGIN read by BoostLab.java:46; SelectionModel.java:160,226 comments cite it. No test.
FeatureScales	draft-research	archive	diagnostic	Checks whether the CLIFF_CAP-scaled features f9/f29 are alive at every position or dead for small-scale positions (TE, DEF).	No root .md names it; its result is quoted in the model's own javadoc: SelectionModel.java:96 "Measured by FeatureScales on the 2026 board, that flat cap makes f9 read" and SelectionModel.java:914 "FeatureScales shows f9 reading 0.355 at quarterback and 0.020 at". No test.
FeedResemblance	draft-research	archive	diagnostic	Walks every real draft in pick order scoring each pick's rank on every dated feed to find which sheet the room actually follows, with capture-vs-draft date gaps.	MODEL.md:1253 "FeedResemblance walks every real draft in pick order"; MODEL.md:1298,1307. Helpers ecrRanks/csvColumns reused by ManagerFeedTable.java:51-65 and ReachAudit. No test.
FluxDraft	draft-research	archive	diagnostic	Dynamic flux-balance-analysis draft policy: re-solve a small position-allocation LP each round and take the max-flux position (a greedy LP relaxation).	MODEL.md:2010 "Also settled tonight: dFBA-as-draft-policy scores 1820.1 against" (class name not in docs). Callers: PlanShowdown, CommitteeRobustness, SourceSensitivity, RankingSelectionTest (all research). No test.
FogFit	draft-research	diagnostic	diagnostic	Fits projection-residual constants (mean ratio, sd, bust and boom rates) by position and projection tier over five seasons for the sensitivity/insurance tools.	MODEL.md:1628 "Implementation: FogFit + DecisionSensitivity + InsuranceTest"; MODEL.md:2194,5057. FogFit.fit() consumed by LiveInsurance.java:115 and RiskDial, DecisionSensitivity, BustBoomRates. No test.
FormatProxyAudit	draft-research	archive	diagnostic	Measures the bias of using PPR era boards as a proxy for half-PPR on the eight seasons where FFC publishes both.	MODEL.md:4618 "`FormatProxyAudit` measures the". No caller, no test.
FragilityBinding	draft-research	seasonal	diagnostic	Walks my seats on a simulated draft and counts how often the shipped BoardValue.tooFragile predicate (the 15% bar) actually refuses a pick.	DRAFT-READY.md:277 "On the shipped one, `FragilityBinding`"; LiveSetup.java:15 "FragilityBinding never built it either - and its \"0 of 66 refused\"". Tests: OneWarmUpTest, SurvivalDependentToolsTest.
GapCertificate	draft-research	archive	diagnostic	Information-relaxation upper bound: mean of per-scenario clairvoyant optima minus the best measured policy, certifying the maximum unclaimed points in the draft game.	Class name in no root .md and no caller; the concept and its number are in MODEL.md:998 "D1 Gap certificate: clairvoyant bound", MODEL.md:1408 "GAP CERTIFICATES (unpenalized information-relaxation)", MODEL.md:1744 "valid upper clairvoyant, ~+12.5 over committed". Javadoc default (src/main/java/GapCertificate.java:685) still "-Pkeepers=Tuten,Flowers".
InsuranceTest	draft-research	archive	live	Rounds 8-9 insurance study (frequency vs severity of promotion by position) over fixed 1-7 plans; also owns replacementRanks(), the league's drafted-depth-plus-one wire level.	main is a study (MODEL.md:1628, 2188, 2736 'the wire is now the replacement level InsuranceTest'), but InsuranceTest.replacementRanks (InsuranceTest.java:44) is called by WeeklyStarterValue.java:358/397 and StartSit.java:325, which feed TuesdaySwap and LeagueConsole (RUNBOOK lines 9-10). Live via that helper; the main itself is August research.
